CH1,CH2,CH27,CH28
47.69720662,33.38441421,171.9112782,-19.61779768
40.53702927,32.35809549,165.4687131,-15.48409599
35.99773599,28.57444673,164.2146822,-12.14176332
25.60908221,21.00669343,157.2035639,-11.67035746
19.48303144,18.14034362,151.948498,-9.813061716
7.093241694,18.19955028,144.1532894,-8.05484747
-13.17111634,23.2960934,153.4625184,-6.641296307
-0.148411294,15.40557876,158.7730059,-4.815107189
-11.96183333,33.14689555,156.0148439,-1.581778555
-10.89943509,20.01517038,153.4157762,-2.315245184
-20.74028114,29.39628544,142.9092376,-0.193980669
-25.23344225,21.77043746,135.7116371,0.037926815
-32.86989737,22.23598061,122.4072978,3.502621418
-45.14509279,26.2184591,114.1457828,2.480019958
-53.3988946,17.5873134,119.2209438,4.839960258
-43.53257018,18.24169374,123.937502,5.255065295
-32.51301206,12.25460927,118.5317364,6.626383903
-32.76367452,11.18760219,114.5534066,5.017716352
-35.30555228,8.605499299,104.5317232,7.448241115
-46.895396,13.81897488,93.77793974,9.804484196
-43.73237883,1.974984584,85.58115676,8.548599326
-48.9576689,-1.689039679,74.73161166,11.12276668
-62.52729489,3.192659074,77.66692801,11.1499576
-45.55393359,1.337736576,85.80177725,11.2571232
-41.21977466,0.951933045,81.28724637,10.90421741
-45.69582812,3.363848575,79.38700351,11.207091
-42.55907867,-0.516637851,69.80271579,12.0019601
-50.38100464,4.394056694,62.37315484,14.10355147
-50.44961138,-2.604778134,54.07487834,14.18140301
-52.84361532,-9.931469049,45.05769158,14.30199117
-75.59207478,3.04132319,43.30658326,16.46003245
-64.79588542,0.933453277,52.30783386,16.26190388
-51.7960956,-6.687893328,51.13179365,17.43521208
-54.75616879,-9.371672101,50.4025,15.4171635
-56.61786339,-3.451259267,42.45196444,16.45342689
-47.0055808,-18.79213162,35.22119243,16.44760489
-61.56797166,-15.66142504,26.51703659,17.55457376
-68.99416296,-18.18704141,19.19076045,17.25495412
-83.26547371,-5.654418494,17.55571399,20.28566601
-68.66775105,-12.65655321,27.45419794,20.51648263
-57.46332996,-20.52199463,28.26920071,20.33690047
-50.93058524,-30.2074204,30.57651979,19.2323485
-58.51236515,-18.73618524,22.4737888,18.32273821
-67.52023542,-16.34819736,21.05267704,19.82731689
-61.3725788,-17.75910051,10.97710453,20.31665485
-81.72446195,-7.725430496,3.794601709,20.60274323
-77.85564381,-18.1604712,3.731698548,20.53733959
-74.16727123,-14.90621866,30.14403586,19.51721462
-67.4519165,-10.6309675,35.98710397,16.43135801
-68.80518692,-3.093981134,48.1187581,16.5170478
-60.67118508,-7.231577745,53.54035391,11.61185301
-68.70002979,2.987452663,58.65979398,15.07970904
-72.53660158,16.72167254,62.62803396,13.22892787
-82.16065234,22.29330002,64.36469784,14.28760335
-83.33716843,21.05333665,84.4633663,13.5491058
-67.61471367,29.61129347,106.4100686,11.86487311
-63.66188741,34.58734155,114.0623244,11.04215883
-58.70334804,33.63525431,122.0066666,7.918276442
-58.9703823,36.47957509,118.0907645,8.664583885
-59.94482415,36.43088604,120.1083576,8.679789256
-56.36307003,33.41969031,119.5180894,6.472010727
-67.29991346,40.61368387,110.9742965,8.040810808
-72.76239248,42.1376312,132.5228492,6.218711627
-51.95565881,41.34967336,136.309088,7.963087843
-49.91013721,43.59979538,138.7318752,7.43445125
-37.63852713,27.86691094,135.990771,5.551268613
-35.03521496,21.54639006,127.9834481,7.096620811
-35.71840625,18.72440681,122.2889579,5.602207334
-45.4104238,20.6295029,114.6172003,5.273080758
-48.47688555,15.34245869,119.3473598,4.694596765
-35.01957555,11.87820059,129.0270122,4.888566474
-21.49262821,8.628373709,131.4020677,5.15671292
-16.19071284,3.358550858,126.4116713,4.518170259
-17.59376363,7.556357272,122.6569971,3.304279651
-14.13431973,0.496679721,110.5627767,3.571708686
-20.49537041,4.59017791,104.7789019,1.276319766
-26.12485428,5.234839666,96.68885667,1.935470267
-24.40140651,2.740153801,109.8687956,3.677027343
-9.607979746,-9.98649753,112.3581539,1.836795267
-4.693733031,-5.538901543,109.0635082,3.39055945
-1.309554381,-9.868320753,104.4259892,2.322058455
-4.232937931,-8.051980833,94.96447254,2.41054074
-12.02996144,-8.323194903,90.17078424,0.855701341
-15.53081763,-11.31406365,79.96250675,-0.665333728
-15.40092732,-15.76454249,75.59412175,-1.067105463
-10.51423157,-21.61944319,89.01137266,1.521588738
-1.90276821,-22.91592302,91.86193322,1.167451108
-7.324303173,-14.13181498,89.24993878,-0.237065435
-0.067149146,-27.56783142,81.70434529,0.564960543
-9.853514128,-17.09293546,73.78703641,-0.847715873
-10.26928358,-23.82422747,67.60307666,0.700274285
-22.05862606,-19.43573527,60.64020899,-1.401742312
-32.30546659,-17.66156437,53.54599989,-1.26335284
-33.17293277,-22.03162821,67.72096828,-1.589280815
-25.14417075,-14.23080556,71.47407972,-1.439777855
-19.40756603,-23.76137737,67.72079636,-2.516863193
-21.90881175,-17.06588974,63.73451464,-2.69636987
-27.45545981,-19.5946071,55.93744779,-2.844038772
-30.37201793,-24.60486197,49.99185747,-2.627955192
-37.89131159,-23.78032406,38.83605502,-1.711126132
-46.94489694,-19.68833748,30.15028048,-2.619361143
-53.3654291,-21.98400086,45.97142043,-2.484068835
-32.34238956,-31.39484673,51.78616984,-1.25400706
-37.60381788,-17.19592725,48.42322444,-1.826838548
-33.06932042,-26.04967556,45.22976091,-4.233403111
-40.82511542,-20.94224287,35.36544922,-1.537228831
-49.77569332,-21.82133828,29.81542712,-1.901770038
-58.72797659,-14.47814327,19.53754113,-5.190597176
-54.03147984,-33.32929088,12.39309874,-4.027855049
-69.9659707,-25.95057631,22.93210856,-3.841980091
-51.0083641,-31.85666427,29.02401518,-4.29017414
-50.91369553,-22.9791136,26.68858332,-1.116416784
-49.06186293,-23.08196409,23.12901027,-3.03563053
-58.63197197,-20.27905474,19.74169718,-2.30111096
-62.72028084,-14.71890561,14.18356419,-3.260698384
-56.28138046,-27.17803775,12.10764279,-2.336269855
-70.28810619,-17.79156886,17.88568098,-1.381074933
-73.16115267,-27.93477959,40.75704273,-2.032544573
-66.34992773,-8.700263177,69.17834841,-1.139307256
-53.43446427,-8.033676121,92.15065033,-2.483502329
-53.84240724,-8.403833926,110.7211311,-4.424319713
-52.9853562,-5.257064874,121.9076118,-4.058636561
-62.76661848,5.20585522,130.8239934,-7.526036324
-49.22327587,-3.171049326,142.7018932,-10.05864631
-64.67832728,2.768802652,141.36334,-13.83148908
-60.68010682,3.355897572,173.0557956,-14.79733035
-45.91409745,6.962671732,182.1097218,-16.96462325
-37.03658855,10.38162652,186.5496295,-17.61108664
-36.95747457,18.38740335,185.6550403,-21.56743111
-25.82978368,5.910779868,182.9078235,-24.56514382
-29.78071808,10.56668064,177.8947923,-26.27108925
-38.00930732,19.85572964,167.9855478,-27.81538579
-31.66299167,5.14148848,159.7443618,-29.10406905
-34.2990507,12.77972735,174.8839671,-31.41243477
-23.75265991,23.53228848,174.1106479,-31.66026711
-15.9977228,21.14591228,168.781446,-33.0835597
-15.59794505,24.92731586,159.2347761,-35.88952995
-10.07528147,16.94807136,149.9638082,-36.90045426
-16.4559119,18.92442468,136.3907103,-37.4368507
-14.02006716,17.02882436,122.541117,-36.29610267
-20.79403398,12.26084576,124.318628,-38.13408471
-11.76645569,11.38696878,127.9450894,-39.3102811
