CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,CH35,CH36
247.3397247,44.38147903,73.09238096,42.01803266,66.77599691,35.35530801,48.2245269,10.23095544,20.53579795,-2.221516226,40.21598649,14.84461067,21.33572189,-5.612946695,-45.69907771,-2.404052669,-49.42069733,-3.286578883,-17.96337604,-35.91540303,-112.6550926,146.5730353,25.63016976,-0.338981468,93.1024813,67.62139206,39.73557907,-20.6967122,46.25639008,3.874324234,73.28045989,70.35508203,43.93824459,32.26922693,24.31718698,55.99625634
284.9935528,37.81754977,74.71525439,36.77568814,82.70789562,18.88774474,49.36625084,16.26054965,19.27257308,-0.369888981,39.77782206,14.34055169,19.68199518,-2.636058818,-42.91682457,-2.907995476,-45.18830338,-11.71132465,-13.89032255,-36.84911753,-65.86973015,106.8497095,11.53054333,27.87695731,-19.62912695,159.0492131,22.45633877,-20.58057695,35.13066054,3.363471635,59.83236531,72.10605148,35.49562045,31.43111622,15.83827929,57.70180722
328.2417646,32.29870627,72.58724696,45.67612629,82.71038001,15.24000003,53.92236876,10.47800414,19.51364137,-0.173929036,38.45612271,16.71273729,19.73370399,-0.641612041,-40.57521695,-0.4738428,-42.24382354,-4.496596046,-12.5234394,-36.88653516,-102.2252576,130.0533334,30.56882102,-16.04454412,10.4774711,89.67746311,-15.15863692,16.73011076,20.59595864,1.945458919,51.81796216,72.82585121,23.69809725,30.57230993,9.595806754,56.94038433
350.9973934,42.66816158,67.71669202,42.1072845,62.87376545,30.31205004,48.53598822,14.1449347,18.23453231,-0.734931171,37.95106873,18.26929038,20.91820343,0.07034242,-39.92784812,-0.645090583,-55.35870545,10.56515551,-10.94452726,-37.69937834,-37.86063812,74.41679818,23.95320071,-10.4299241,67.69158549,43.70389156,16.11994366,-24.39553743,6.049825024,-0.338354679,42.1941502,68.5580032,11.74055958,29.88552812,1.25900497,58.82567711
369.3520567,33.64820454,70.26283285,37.23133158,65.36994845,23.97192705,49.28269979,12.62129156,16.44956154,-0.868580307,34.35824894,17.60133908,23.35573455,-7.524182567,-38.25706334,-0.348685323,-47.59489789,-8.102758948,-1.448101258,-42.19837993,-36.38019042,100.4861746,20.05347777,-9.861834865,64.72216477,23.82897064,-12.5186326,10.16218709,-9.412397141,-1.35684178,31.95368621,69.9629667,-0.727987972,29.15061699,-2.944481181,58.39860441
378.467291,42.72766647,54.56860012,56.96615308,63.76599115,23.94784386,42.68586636,13.51922134,16.3246356,-1.878527725,30.28135462,16.87895498,13.71123093,-1.476146454,-41.53018339,-2.894355286,-56.54909845,7.60743818,-23.50341146,-30.24673119,-99.45015157,163.265966,-12.4135516,29.87824279,108.7735478,-16.39500136,47.63822548,-49.04637688,-8.317664461,-1.171976546,32.04013928,70.61314949,7.199844889,30.29418812,-1.95368621,59.61463496
406.8959767,37.69277556,71.73481185,36.52872791,59.08517325,35.01777812,43.50981398,21.10161987,17.20186583,-0.520772688,36.91306186,14.86087258,22.09164189,-6.542098924,-38.12951014,0.871210311,-46.53503333,-4.535851039,-23.1436669,-17.92478119,-74.53572976,152.212236,-14.28515537,40.75257812,64.99136036,35.29822077,11.07901306,-8.403699752,35.25948511,5.773238383,70.38022271,72.63607978,33.58392529,31.58765739,15.95844341,59.49445151
418.2600363,39.92037246,64.31642401,44.00643595,74.96993037,16.96458193,52.25524704,5.273311003,16.80332224,-1.107921606,30.21048226,15.37977002,14.09660814,-7.819038224,-42.33957163,-4.460521302,-56.02328731,5.110448791,-18.44762445,-33.39023517,-65.81876876,100.6277182,15.95527277,13.8885434,134.9282273,13.36332129,64.30273581,-39.37987243,35.91638333,5.692178174,66.46661393,73.6234478,34.31529384,31.60124673,13.94084359,58.34560567
428.0645183,38.08795667,57.02179705,48.87317336,56.43797979,45.37660631,35.33665336,13.55644232,15.77693714,-3.876818587,25.79545406,12.30841027,12.28864275,-8.530597669,-47.52550711,-7.287065991,-44.90323792,-10.88155853,-25.18195727,-33.33009874,-81.88723206,118.3563961,3.201740705,28.06649704,54.26261114,62.06040855,32.84171506,-32.24757232,34.23330094,4.666870548,64.3527776,73.4015484,32.06378794,31.28182403,9.48489349,58.88465859
428.2466023,41.92195083,63.54639734,39.43390778,66.51033585,37.83630412,37.41981892,3.963433071,13.03398104,-4.346477585,25.69876322,8.931195795,2.848437648,-3.211276047,-51.31853041,-11.15117299,-55.8518062,-8.37970046,-28.55329034,-46.90593621,-63.73984492,80.46430919,19.26443021,-1.988908661,21.40266623,69.04337238,21.38455842,-17.69183796,21.81667497,3.219990556,50.63887505,73.3460836,23.13963055,30.61858198,4.692717649,57.62080278
